City Data,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nanortalik,60.1432,-45.2371,41.32,85,35,9.71,GL,2022-08-22 23:07:21
1,Avarua,-21.2078,-159.775,77.05,69,75,12.66,CK,2022-08-22 23:03:33
2,Ushuaia,-54.8,-68.3,37.06,65,0,5.75,AR,2022-08-22 23:07:21
3,Kamaishi,39.2667,141.8833,78.35,85,93,10.07,JP,2022-08-22 23:05:22
4,Rikitea,-23.1203,-134.9692,70.48,70,24,14.09,PF,2022-08-22 23:07:22
5,Castro,-24.7911,-50.0119,50.47,97,66,4.88,BR,2022-08-22 23:07:22
6,Broome,42.2506,-75.833,73.45,84,75,5.99,US,2022-08-22 23:07:22
7,Port Alfred,-33.5906,26.891,59.7,77,55,10.8,ZA,2022-08-22 23:07:23
8,Atuona,-9.8,-139.0333,76.5,63,44,11.34,PF,2022-08-22 23:07:23
9,Severo-Kuril'sk,50.6789,156.125,57.94,79,100,3.53,RU,2022-08-22 23:07:23
10,Busselton,-33.65,115.3333,42.87,85,3,9.53,AU,2022-08-22 23:07:24
11,Nemuro,43.3236,145.575,68.67,97,100,20.04,JP,2022-08-22 23:03:24
12,Akdepe,42.0551,59.3788,65.3,49,0,9.46,TM,2022-08-22 23:07:24
13,Denpasar,-8.65,115.2167,78.46,83,75,17.27,ID,2022-08-22 23:05:43
14,Las Vegas,36.175,-115.1372,103.77,27,2,1.99,US,2022-08-22 22:58:31
15,Hermanus,-34.4187,19.2345,52.38,83,100,11.7,ZA,2022-08-22 23:07:25
16,Padang,-0.9492,100.3543,71.65,83,93,4.32,ID,2022-08-22 23:07:26
17,Tual,-5.6667,132.75,79.39,81,100,21.83,ID,2022-08-22 23:07:26
18,Cape Town,-33.9258,18.4232,59.38,72,99,4.0,ZA,2022-08-22 23:03:01
19,Geraldton,-28.7667,114.6,54.01,50,0,24.16,AU,2022-08-22 23:07:27
20,Manbij,36.5281,37.9549,75.18,78,0,15.68,SY,2022-08-22 23:07:27
21,Mossamedes,-15.1961,12.1522,63.05,85,42,10.38,AO,2022-08-22 23:07:27
22,George Town,5.4112,100.3354,80.53,85,20,4.61,MY,2022-08-22 23:07:05
23,Khatanga,71.9667,102.5,42.89,92,100,10.38,RU,2022-08-22 23:07:28
24,Lompoc,34.6391,-120.4579,90.01,69,0,14.97,US,2022-08-22 23:03:06
25,Carutapera,-1.195,-46.02,77.95,80,100,8.12,BR,2022-08-22 23:07:28
26,Butaritari,3.0707,172.7902,81.01,77,11,14.61,KI,2022-08-22 23:07:28
27,São Filipe,14.8961,-24.4956,78.67,87,95,5.1,CV,2022-08-22 23:07:29
28,Morant Bay,17.8815,-76.4093,78.71,80,100,6.2,JM,2022-08-22 23:07:29
29,Itaguaí,-22.8522,-43.7753,68.63,80,14,2.57,BR,2022-08-22 23:07:01
30,Cabo San Lucas,22.8909,-109.9124,91.71,55,40,9.22,MX,2022-08-22 23:07:05
31,Abu Samrah,35.3029,37.1841,74.26,74,0,11.95,SY,2022-08-22 23:07:30
32,Bredasdorp,-34.5322,20.0403,47.53,89,100,4.41,ZA,2022-08-22 23:07:30
33,Tuktoyaktuk,69.4541,-133.0374,44.76,62,25,12.44,CA,2022-08-22 23:07:31
34,Kirakira,-10.4544,161.9205,84.11,59,22,11.88,SB,2022-08-22 23:07:31
35,Uruguaiana,-29.7547,-57.0883,55.42,86,84,9.24,BR,2022-08-22 23:07:31
36,Hasaki,35.7333,140.8333,82.29,85,87,8.52,JP,2022-08-22 23:07:32
37,Albany,42.6001,-73.9662,76.37,76,100,3.0,US,2022-08-22 23:03:30
38,San Miguel de Tucumán,-26.8241,-65.2226,64.4,29,0,2.3,AR,2022-08-22 23:07:32
39,Sioux Lookout,50.1001,-91.917,65.59,76,100,5.82,CA,2022-08-22 23:07:32
40,Killybegs,54.6333,-8.45,61.29,95,100,5.99,IE,2022-08-22 23:07:33
41,Korla,41.7597,86.1469,65.82,36,13,14.81,CN,2022-08-22 23:07:33
